,movie_title,movie_Id,user_id
0,"Fountain, The",48043,2
1,"Princess and the Warrior, The (Krieger und die Kaiserin, Der)",4380,2
2,"Hitchhiker's Guide to the Galaxy, The",33004,2
3,"Eagle Has Landed, The",3985,2
4,"Mummy: Tomb of the Dragon Emperor, The",60937,2
5,Husbands and Wives,5339,2
6,"Amityville Horror, The",1327,2
7,Dark Shadows,94478,2
8,Calendar Girls,7155,2
9,Southpaw,139642,2
10,Minions,135887,2
0,"Lost World: Jurassic Park, The",1544,50
1,[REC],57274,50
2,Crossroads,5106,50
3,Varsity Blues,2447,50
4,Mask,8880,50
5,American Movie,3007,50
6,Red,81229,50
7,He Got Game,1840,50
8,"Transporter, The",5574,50
9,Confessions of a Dangerous Mind,6003,50
10,Resident Evil: Apocalypse,8861,50
0,Battlefield Earth,3593,120
1,Clueless,39,120
2,Love Actually,6942,120
3,127 Hours,81562,120
4,22 Jump Street,112138,120
5,Where the Heart Is,3565,120
6,Men in Black III (M.III.B.) (M.I.B.³),94777,120
7,Next,51412,120
8,Frost/Nixon,64620,120
9,"Misérables, Les",73,120
10,Antonia's Line (Antonia),82,120
0,Bubble Boy,4732,308
1,Crank,47200,308
2,Ice Age 2: The Meltdown,44022,308
3,Big Daddy,2694,308
4,"Pledge, The",4056,308
5,Charlie's Angels: Full Throttle,6503,308
6,My Big Fat Greek Wedding,5299,308
7,Jesus Camp,47999,308
8,The Man from U.N.C.L.E.,138036,308
9,Once Upon a Time in America,1227,308
10,Jane Eyre,613,308
